week,week_start,product,channel,spend_inr,impressions
W1,2026-05-01,Cloud Sneaker - Grey,Meta Ads,28489,256401
W1,2026-05-01,Cloud Sneaker - Black,Meta Ads,20194,222134
W1,2026-05-01,Trail Runner - Olive,Influencer,22632,203688
W1,2026-05-01,Classic Slip-On - White,Google Ads,29384,264456
W1,2026-05-01,Everyday Loafer - Tan,Meta Ads,22088,176704
W1,2026-05-01,Recycled Runner - Navy,Google Ads,23488,234880
W1,2026-05-01,Wool Blend Sneaker - Charcoal,Google Ads,17697,176970
W1,2026-05-01,Kids Comfort Shoe - Blue,Google Ads,26621,266210
W2,2026-05-08,Cloud Sneaker - Grey,Influencer,24064,192512
W2,2026-05-08,Cloud Sneaker - Black,Email,21329,255948
W2,2026-05-08,Trail Runner - Olive,Meta Ads,19582,176238
W2,2026-05-08,Classic Slip-On - White,Email,16584,165840
W2,2026-05-08,Everyday Loafer - Tan,Influencer,28023,336276
W2,2026-05-08,Recycled Runner - Navy,Google Ads,20990,188910
W2,2026-05-08,Wool Blend Sneaker - Charcoal,Email,24870,298440
W2,2026-05-08,Kids Comfort Shoe - Blue,Meta Ads,15659,125272
W3,2026-05-15,Cloud Sneaker - Grey,Influencer,22247,244717
W3,2026-05-15,Cloud Sneaker - Black,Google Ads,18505,222060
W3,2026-05-15,Trail Runner - Olive,Influencer,19442,174978
W3,2026-05-15,Classic Slip-On - White,Google Ads,16789,151101
W3,2026-05-15,Everyday Loafer - Tan,Google Ads,15831,142479
W3,2026-05-15,Recycled Runner - Navy,Meta Ads,15860,174460
W3,2026-05-15,Wool Blend Sneaker - Charcoal,Email,20411,163288
W3,2026-05-15,Kids Comfort Shoe - Blue,Google Ads,26160,209280
W4,2026-05-22,Cloud Sneaker - Grey,Google Ads,29792,357504
W4,2026-05-22,Cloud Sneaker - Black,Google Ads,23792,214128
W4,2026-05-22,Trail Runner - Olive,Email,20375,163000
W4,2026-05-22,Classic Slip-On - White,Google Ads,26145,313740
W4,2026-05-22,Everyday Loafer - Tan,Meta Ads,23008,276096
W4,2026-05-22,Recycled Runner - Navy,Meta Ads,22298,245278
W4,2026-05-22,Wool Blend Sneaker - Charcoal,Email,17161,188771
W4,2026-05-22,Kids Comfort Shoe - Blue,Meta Ads,24239,290868
W5,2026-05-29,Cloud Sneaker - Grey,Google Ads,28915,289150
W5,2026-05-29,Cloud Sneaker - Black,Google Ads,29049,319539
W5,2026-05-29,Trail Runner - Olive,Meta Ads,29987,359844
W5,2026-05-29,Classic Slip-On - White,Email,21761,261132
W5,2026-05-29,Everyday Loafer - Tan,Google Ads,23683,260513
W5,2026-05-29,Recycled Runner - Navy,Influencer,18978,170802
W5,2026-05-29,Wool Blend Sneaker - Charcoal,Meta Ads,20411,224521
W5,2026-05-29,Kids Comfort Shoe - Blue,Influencer,28879,231032
W6,2026-06-05,Cloud Sneaker - Grey,Meta Ads,16753,201036
W6,2026-06-05,Cloud Sneaker - Black,Google Ads,17439,156951
W6,2026-06-05,Trail Runner - Olive,Influencer,25154,251540
W6,2026-06-05,Classic Slip-On - White,Email,19379,155032
W6,2026-06-05,Everyday Loafer - Tan,Email,21112,232232
W6,2026-06-05,Recycled Runner - Navy,Google Ads,24256,218304
W6,2026-06-05,Wool Blend Sneaker - Charcoal,Meta Ads,19914,159312
W6,2026-06-05,Kids Comfort Shoe - Blue,Email,16531,181841
W7,2026-06-12,Cloud Sneaker - Grey,Email,26228,236052
W7,2026-06-12,Cloud Sneaker - Black,Influencer,17274,172740
W7,2026-06-12,Trail Runner - Olive,Email,19397,174573
W7,2026-06-12,Classic Slip-On - White,Google Ads,16036,176396
W7,2026-06-12,Everyday Loafer - Tan,Email,19521,195210
W7,2026-06-12,Recycled Runner - Navy,Meta Ads,22933,229330
W7,2026-06-12,Wool Blend Sneaker - Charcoal,Google Ads,19123,210353
W7,2026-06-12,Kids Comfort Shoe - Blue,Google Ads,24728,272008
W8,2026-06-19,Cloud Sneaker - Grey,Google Ads,5569,66828
W8,2026-06-19,Cloud Sneaker - Black,Influencer,22912,252032
W8,2026-06-19,Trail Runner - Olive,Email,16599,182589
W8,2026-06-19,Classic Slip-On - White,Meta Ads,20225,202250
W8,2026-06-19,Everyday Loafer - Tan,Meta Ads,15732,125856
