review_id,order_id,customer_id,product,rating,review_text,review_date,city
REV2001,ORD1001,CUST501,Cloud Sneaker - Black,2,Ordered my usual size but it's way too narrow for my feet.,2026-08-09,Delhi
REV2002,ORD1002,CUST502,Cloud Sneaker - Black,4,Fits true to size and looks even better in person.,2026-05-07,Jaipur
REV2003,ORD1003,CUST503,Cloud Sneaker - Grey,1,Box arrived damaged and the shoe had a scuff mark already.,2026-08-12,Pune
REV2004,ORD1004,CUST504,Everyday Loafer - Tan,3,"Runs really small, had to return and reorder a size up.",2026-08-20,Delhi
REV2005,ORD1005,CUST505,Trail Runner - Olive,4,"Love the sustainable materials, feels good to buy consciously.",2026-08-13,Pune
REV2006,ORD1006,CUST506,Recycled Runner - Navy,5,"Great quality for the price, will definitely buy another pair.",2026-07-23,Chennai
REV2007,ORD1007,CUST507,Cloud Sneaker - Black,2,Stitching came undone after the first wash.,2026-05-21,Jaipur
REV2008,ORD1008,CUST508,Cloud Sneaker - Grey,4,Fits true to size and looks even better in person.,2026-08-13,Pune
REV2009,ORD1009,CUST509,Everyday Loafer - Tan,3,"Runs really small, had to return and reorder a size up.",2026-07-28,Ahmedabad
REV2010,ORD1010,CUST510,Everyday Loafer - Tan,2,"Runs really small, had to return and reorder a size up.",2026-07-29,Mumbai
REV2011,ORD1011,CUST511,Wool Blend Sneaker - Charcoal,3,Ordered my usual size but it's way too narrow for my feet.,2026-08-03,Hyderabad
REV2012,ORD1012,CUST512,Cloud Sneaker - Grey,4,Fits true to size and looks even better in person.,2026-06-27,Chennai
REV2013,ORD1013,CUST513,Kids Comfort Shoe - Blue,5,"Perfect for my daily walks, very lightweight.",2026-07-31,Jaipur
REV2014,ORD1014,CUST514,Everyday Loafer - Tan,1,Took 12 days to arrive even though the site promised 4-5 days.,2026-07-22,Jaipur
REV2015,ORD1015,CUST515,Kids Comfort Shoe - Blue,4,"Love the sustainable materials, feels good to buy consciously.",2026-08-07,Mumbai
REV2016,ORD1016,CUST516,Cloud Sneaker - Black,2,"Raised a return request 5 days ago, no response from support yet.",2026-06-29,Jaipur
REV2017,ORD1017,CUST517,Everyday Loafer - Tan,1,Box arrived damaged and the shoe had a scuff mark already.,2026-05-21,Chennai
REV2018,ORD1018,CUST518,Everyday Loafer - Tan,1,Stitching came undone after the first wash.,2026-07-07,Bengaluru
REV2019,ORD1019,CUST519,Trail Runner - Olive,1,"Customer care kept transferring my call, issue still unresolved.",2026-07-23,Delhi
REV2020,ORD1020,CUST520,Everyday Loafer - Tan,4,Fits true to size and looks even better in person.,2026-05-13,Pune
REV2021,ORD1021,CUST521,Trail Runner - Olive,3,"Runs really small, had to return and reorder a size up.",2026-08-02,Bengaluru
REV2022,ORD1022,CUST522,Classic Slip-On - White,2,Took 12 days to arrive even though the site promised 4-5 days.,2026-07-03,Hyderabad
REV2023,ORD1023,CUST523,Classic Slip-On - White,5,"Super comfortable, wore them all day at work with zero pain.",2026-05-16,Pune
REV2024,ORD1024,CUST524,Classic Slip-On - White,4,"Great quality for the price, will definitely buy another pair.",2026-05-23,Delhi
REV2025,ORD1025,CUST525,Recycled Runner - Navy,2,Sole started peeling off within three weeks of light use.,2026-07-10,Mumbai
REV2026,ORD1026,CUST526,Trail Runner - Olive,2,"Customer care kept transferring my call, issue still unresolved.",2026-06-15,Ahmedabad
REV2027,ORD1027,CUST527,Cloud Sneaker - Black,2,Box arrived damaged and the shoe had a scuff mark already.,2026-06-23,Jaipur
REV2028,ORD1028,CUST528,Cloud Sneaker - Grey,4,"Love the sustainable materials, feels good to buy consciously.",2026-08-09,Jaipur
REV2029,ORD1029,CUST529,Kids Comfort Shoe - Blue,2,Sole started peeling off within three weeks of light use.,2026-06-28,Bengaluru
REV2030,ORD1030,CUST530,Kids Comfort Shoe - Blue,4,"Super comfortable, wore them all day at work with zero pain.",2026-05-19,Mumbai
REV2031,ORD1031,CUST531,Wool Blend Sneaker - Charcoal,1,"Delivery partner delayed twice, no updates on tracking page.",2026-07-06,Ahmedabad
REV2032,ORD1032,CUST532,Cloud Sneaker - Grey,2,"Raised a return request 5 days ago, no response from support yet.",2026-06-17,Jaipur
REV2033,ORD1033,CUST533,Kids Comfort Shoe - Blue,2,"Sizing is inconsistent with your last collection, too tight on the sides.",2026-05-31,Bengaluru
REV2034,ORD1034,CUST534,Cloud Sneaker - Grey,1,"Refund promised in 7 days, it has been 3 weeks now.",2026-07-23,Delhi
REV2035,ORD1035,CUST535,Cloud Sneaker - Black,5,Fits true to size and looks even better in person.,2026-05-20,Bengaluru
REV2036,ORD1036,CUST536,Cloud Sneaker - Black,5,"Great quality for the price, will definitely buy another pair.",2026-07-25,Pune
REV2037,ORD1037,CUST537,Recycled Runner - Navy,1,Color faded badly after just a couple of wears in the sun.,2026-06-08,Hyderabad
REV2038,ORD1038,CUST538,Trail Runner - Olive,4,Fits true to size and looks even better in person.,2026-07-05,Hyderabad
